county,pnd_true,pnd_false,percentage_pending,avg_cost
"Limestone County, Alabama",341 results,248 results,"$309,456",0.2727272727272727,103570
"Lauderdale County, Alabama",355 results,257 results,"$211,447",0.27605633802816903,93564
"Elmore County, Alabama",191 results,142 results,"$256,407",0.25654450261780104,87977
"Talladega County, Alabama",270 results,210 results,"$182,041",0.2222222222222222,82149
"Walker County, Alabama",109 results,76 results,"$175,359",0.30275229357798167,65342
"Russell County, Alabama",157 results,82 results,"$177,203",0.47770700636942676,59183
"Marshall County, Alabama",313 results,233 results,"$227,709",0.25559105431309903,97612
"Cullman County, Alabama",320 results,237 results,"$233,089",0.259375,87866
"Blount County, Alabama",160 results,112 results,"$226,950",0.3,59134
