county,pnd_true,pnd_false,avg_cost,percentage_pending,Population
"Jefferson County, Alabama","2,428 results","1,576 results","$202,569",0.35090609555189456,674721
"Madison County, Alabama","1,140 results",746 results,"$296,515",0.3456140350877193,388153
"Baldwin County, Alabama","1,577 results","1,298 results","$377,853",0.17691819911223844,231767
"Shelby County, Alabama",765 results,464 results,"$343,902",0.3934640522875817,223024
"Morgan County, Alabama",347 results,260 results,"$222,314",0.2507204610951009,123421
"Houston County, Alabama",348 results,267 results,"$187,193",0.23275862068965517,107202
"Mobile County, Alabama","1,233 results",910 results,"$185,940",0.2619626926196269,414809
"Tuscaloosa County, Alabama",580 results,364 results,"$226,887",0.3724137931034483,227036
"Calhoun County, Alabama",339 results,229 results,"$153,866",0.32448377581120946,116441
"Colbert County, Alabama",261 results,190 results,"$184,896",0.2720306513409962,57227
"Jackson County, Alabama",134 results,100 results,"$188,766",0.2537313432835821,52579
"Chilton County, Alabama",146 results,106 results,"$213,754",0.273972602739726,45014
"Dallas County, Alabama",131 results,107 results,"$75,807",0.183206106870229,38462
"Escambia County, Alabama",109 results,82 results,"$137,701",0.24770642201834864,36757
"Pike County, Alabama",104 results,102 results,"$158,114",0.019230769230769232,33009
"Coffee County, Alabama",162 results,110 results,"$194,439",0.32098765432098764,53465
"Tallapoosa County, Alabama",152 results,126 results,"$226,374",0.17105263157894737,41311
"Chambers County, Alabama",78 results,40 results,"$130,779",0.48717948717948717,34772
"Saline County, Arkansas",421 results,350 results,"$243,915",0.16864608076009502,123416
"Garland County, Arkansas",598 results,517 results,"$240,876",0.1354515050167224,100180
"Lonoke County, Arkansas",305 results,260 results,"$222,668",0.14754098360655737,74015
"Pope County, Arkansas",83 results,61 results,"$194,125",0.26506024096385544,63381
"Crittenden County, Arkansas",136 results,95 results,"$145,382",0.3014705882352941,48163
"Miller County, Arkansas",135 results,100 results,"$160,356",0.25925925925925924,42600
"Craighead County, Arkansas",525 results,398 results,"$202,291",0.2419047619047619,111231
"Jefferson County, Arkansas",252 results,193 results,"$84,262",0.23412698412698413,67260
"Greene County, Arkansas",182 results,135 results,"$176,851",0.25824175824175827,45736
"Clark County, Arkansas",82 results,76 results,"$146,788",0.07317073170731707,21446
"Conway County, Arkansas",57 results,40 results,"$153,312",0.2982456140350877,20715
"Hempstead County, Arkansas",60 results,46 results,"$107,096",0.23333333333333334,20065
"Ashley County, Arkansas",41 results,34 results,"$80,320",0.17073170731707318,19062
"Grant County, Arkansas",50 results,42 results,"$202,394",0.16,17958
"Arkansas County, Arkansas",87 results,72 results,"$115,008",0.1724137931034483,17149
"Logan County, Arkansas",73 results,54 results,"$157,202",0.2602739726027397,21131
"Polk County, Arkansas",143 results,137 results,"$174,811",0.04195804195804196,19221
"Drew County, Arkansas",58 results,50 results,"$151,043",0.13793103448275862,17350
"Franklin County, Arkansas",75 results,59 results,"$160,950",0.21333333333333335,17097
"Cross County, Arkansas",60 results,43 results,"$130,949",0.2833333333333333,16833
"Marion County, Arkansas",16 results,13 results,"$205,899",0.1875,16826
"Lawrence County, Arkansas",49 results,36 results,"$119,297",0.2653061224489796,16216
"Van Buren County, Arkansas",109 results,95 results,"$159,519",0.12844036697247707,15796
"Izard County, Arkansas",93 results,83 results,"$162,509",0.10752688172043011,13577
"Phillips County, Arkansas",31 results,28 results,"$49,010",0.0967741935483871,16568
"Madison County, Arkansas",56 results,54 results,"$239,305",0.03571428571428571,16521
"Clay County, Arkansas",113 results,90 results,"$105,556",0.20353982300884957,14552
"Howard County, Arkansas",54 results,44 results,"$147,256",0.18518518518518517,12785
"Little River County, Arkansas",26 results,22 results,"$137,065",0.15384615384615385,12026
"Desha County, Arkansas",24 results,18 results,"$85,429",0.25,11395
"Chicot County, Arkansas",11 results,9 results,"$86,443",0.18181818181818182,10208
"Perry County, Arkansas",36 results,31 results,"$153,190",0.1388888888888889,10019
"Lee County, Arkansas",8 results,7 results,"$88,101",0.125,8600
"Stone County, Arkansas",73 results,65 results,"$177,356",0.1095890410958904,12359
"Bradley County, Arkansas",33 results,29 results,"$99,842",0.12121212121212122,10545
"Scott County, Arkansas",43 results,37 results,"$142,958",0.13953488372093023,9836
